Name,Alcohol,Ingredients
Alexander (cocktail),Cognac,"
3 cl cognac
3 cl white crème de cacao
3 cl light cream
"
Americano (cocktail),Vermouth,"
3 cl Campari
3 cl red vermouth
A splash of soda water
"
Aviation (cocktail),Gin,"
4.5 cl gin
1.5 cl lemon juice
1.5 cl maraschino liqueur
"
Bacardi cocktail,Rum,"
4.5 cl white rum
2 cl lime juice
1 cl grenadine syrup
"
Casino (cocktail),Gin,"
4 cl gin (Old Tom)
1 cl Maraschino
1 cl orange bitters
1 cl fresh lemon juice
"
Clover Club Cocktail,Gin,"
4.5cl Gin
1.5cl Lemon Juice
1.5cl Raspberry Syrup
1 Egg White
"
Daiquiri,Rum,"
4.5 cl (9 parts) white rum
2.5 cl (5 parts) lime juice
1.5 cl (3 parts) simple syrup
"
Martini (cocktail),Gin,"
6 cl (6 parts) gin
1 cl (1 parts) dry vermouth
"
Manhattan (cocktail),Whiskey,"
5 cL rye
2 cL Sweet red vermouth
Dash Angostura bitters
"
Negroni,Gin,"
3 cl gin
3 cl sweet red vermouth
3 cl campari
"
Old Fashioned,Whiskey,"
4.5 cL Bourbon or Rye whiskey
2 dashes Angostura bitters
1 sugar cube
Few dashes plain water
"
Paradise (cocktail),Gin,"
3.5 cl (7 parts) gin
2 cl (4 parts) apricot brandy
1.5 cl (3 parts) orange juice
"
Planter's Punch,Rum,"
4.5cl Dark rum
3.5 cl Fresh orange juice
3.5 cl Fresh pineapple juice
2 cl Fresh lemon juice
1 cl Grenadine syrup
1 cl Sugar syrup
3 or 4 dashes Angostura bitters
"
Porto flip,Port,"
1.5 cl (3 parts) brandy
4 cl (8 parts) port
1 cl (2 parts) egg yolk
"
Rusty Nail (cocktail),Scotch whisky,"
7.5 cl Scotch Whisky
2.5 cl Drambuie
"
Sazerac,Cognac,"
5 cl Cognac
1 cl Absinthe
One sugar cube
Two dashes Peychaud's Bitters
"
Screwdriver (cocktail),Vodka,"
5 cL (1 part) vodka
10 cL (2 parts) orange juice
"
Whiskey sour,Whiskey,"
4.5 cl (3 parts) Bourbon whiskey
3 cl (2 parts) fresh lemon juice
1.5 cl (1 part) Gomme syrup
dash egg white (optional)
"
Bellini (cocktail),Prosecco,"
10 cl (2 parts) Prosecco
5 cl (1 part) fresh peach purée
"
Black Russian,Vodka,"
5 cl (5 parts) Vodka
2 cl (2 parts) Coffee liqueur
"
Bloody Mary (cocktail),Vodka,"
4.5 cl (3 parts) Vodka
9 cl (6 parts) Tomato juice
1.5 cl (1 part) Lemon juice
2 to 3 dashes of Worcestershire Sauce
Tabasco
Celery salt
Pepper
"
Caipirinha,Cachaça,"
5 cl cachaça
Half a lime cut into 4 wedges
2 teaspoons sugar
"
Cosmopolitan (cocktail),Vodka,"
4 cl Vodka Citron
1.5 cl Cointreau
1.5 cl Fresh lime juice
3 cl Cranberry juice
"
Cuba Libre,Rum,"
12 cL Cola
5 cL Light rum
1 cL Fresh lime juice
"
Godfather (cocktail),Scotch whisky,"
3.5cl scotch whisky
3.5cl Disaronno
"
Golden dream (cocktail),Orange-flavored liqueur,"
2 cl (2 parts) Galliano
2 cl (2 parts) Triple Sec
2 cl (2 parts) Fresh orange juice
1 cl (1 part) Fresh cream
"
Harvey Wallbanger,Vodka,"
4.5 cL (3 parts) Vodka
1.5 cL (1 part) Galliano
9 cL (6 parts) fresh orange juice
"
Horse's Neck,Brandy,"
4 cL (1 part) Brandy
12 cL (3 parts) Ginger ale
Dash of Angostura bitter (optional)
"
Irish coffee,Irish whiskey,"
4 cl (2 parts) Irish whiskey
8 cl (4 parts) hot coffee
3 cl (1½ parts) fresh cream
1tsp brown sugar
"
Kir (cocktail),Wine
Long Island Iced Tea,Gin,"
1.5 cl Tequila
1.5 cl Vodka
1.5 cl White rum
1.5 cl Triple sec
1.5 cl Gin
2.5 cl Lemon juice
3.0 cl Gomme Syrup
1 dash of Cola
"
Mai Tai,Rum,"
4 cl white rum
2 cl dark rum
1.5 cl orange curaçao
1.5 cl Orgeat syrup
1 cl fresh lime juice
"
Margarita,Tequila,"
3.5 cL (7 parts) tequila
2 cL (4 parts) Cointreau
1.5 cL (3 parts) lime juice
"
Mimosa (cocktail),Champagne,"
7.5 cl champagne
7.5 cl orange juice
"
Mint julep,Bourbon whiskey,"
6 cL Bourbon whiskey
4 mint leaves
1 teaspoon powdered sugar
2 teaspoons water
"
Moscow mule,Vodka,"
4.5cl (9 parts) vodka
0.5cl (1 part) lime juice
12cl (24 parts) ginger beer
"
Piña colada,Rum,"
3 cl (one part) white rum
3 cl (one part) coconut milk
9 cl (3 parts) pineapple juice
"
Rose (cocktail),Vermouth,"
4 cl (2 parts) dry vermouth
2 cl (1 parts) Kirsch
3 Dashes Strawberry syrup
"
Sea Breeze (cocktail),Vodka,"
4 cl Vodka
12 cl Cranberry juice
3 cl Grapefruit juice
"
Sex on the Beach,Vodka,"
4 cl Vodka
2 cl Peach schnapps
4 cl Orange juice
4 cl Cranberry juice
"
Singapore Sling,Gin,"
3 cl Gin
1.5 cl Cherry Liqueur (cherry brandy)
0.75 cl Cointreau
0.75 cl DOM Bénédictine
1 cl Grenadine
12 cl Pineapple juice
1.5 cl Fresh lime juice
1 dash Angostura bitters
"
Tequila Sunrise (cocktail),Tequila,"
4.5 cl (3 parts) Tequila
9 cl (6 parts) Orange juice
1.5 cl (1 part) Grenadine syrup
"
Bramble (cocktail),Gin,"
4 cl gin
1.5 cl lemon juice
1 cl simple syrup
1.5 cl Creme de Mure(blackberry liqueur)
"
B-52 (cocktail),Coffee liqueur,"
2 cl (1 part) coffee liqueur (Kahlúa)
2 cl (1 part) Irish Cream (Baileys Irish Cream)
2 cl (1 part) Orange Cognac (Grand Marnier)
"
Dark 'N' Stormy,Rum,"
6 cl dark rum
10 cl Ginger beer
"
Martini (cocktail),Gin,"
6 cl (6 parts) gin
1 cl (1 parts) dry vermouth
"
Espresso Martini,Vodka,"
5 cl Vodka
1 cl Kahlua
Sugar syrup (according to individual preference of sweetness)
1 short strong Espresso
"
Kamikaze (cocktail),Vodka,"
3 cl vodka
3 cl triple sec
3 cl lime juice
"
Pisco sour,Pisco,"
4.5cl Pisco
3cl lemon juice [a]
2cl Simple syrup
1 Egg white[b]
"
Spritz (alcoholic beverage),Prosecco,"
6cl Prosecco
4cl Aperol
Splash of Soda water
"
Vesper (cocktail),Gin,"
6cl gin
1.5cl vodka
0.75cl Lillet Blonde
"
